step,loss,step_time_sec,elapsed_sec,tokens_processed,tokens_per_sec,vram_used_mb,vram_peak_mb,gpu_util_percent
5200,3.562638759613037,0.04038379993289709,277.73863889998756,2662912,9587.834125445192,444.05322265625,694.328125,44
5400,3.9366297721862793,0.046477199997752905,287.0906901000999,2765312,9632.189741282864,444.05322265625,694.328125,50
5600,3.5665035247802734,0.05499590002000332,298.0917064000387,2867712,9620.23410390202,444.05322265625,694.328125,47
5800,3.8571646213531494,0.05527419992722571,307.7065410001669,2970112,9652.417496053127,444.05322265625,694.328125,38
6000,3.6902108192443848,0.04685249994508922,317.00587059999816,3072512,9692.287383147339,444.05322265625,694.328125,49
6200,3.321866035461426,0.05645480006933212,326.44301260006614,3174912,9725.777172292144,444.05322265625,694.328125,43
6400,3.7703447341918945,0.057116599986329675,335.6036243000999,3277312,9765.424931970927,444.05322265625,694.328125,51
6600,3.3247880935668945,0.039879800053313375,344.81165030016564,3379712,9801.617773233274,444.05322265625,694.328125,53
6800,3.2799243927001953,0.04140369989909232,353.89580850000493,3482112,9839.370561519243,444.05322265625,694.328125,42
7000,3.3494279384613037,0.04016319988295436,362.7703031001147,3584512,9880.9411061709,444.05322265625,694.328125,49
7200,3.244035243988037,0.04437900008633733,371.6142373001203,3686912,9921.342160586824,444.05322265625,694.328125,49
7400,3.3461203575134277,0.04698319989256561,380.7589881999884,3789312,9951.9961903295,444.05322265625,694.328125,52
7600,3.603848934173584,0.04188470006920397,389.56797350011766,3891712,9989.815038013705,444.05322265625,694.328125,54
7800,3.4697561264038086,0.06694000004790723,398.7808972999919,3994112,10015.805739549603,444.05322265625,694.328125,51
0,10.96240520477295,0.29580850014463067,0.29584200005047023,512,1730.6535242212178,444.05322265625,526.38671875,18
200,7.326233863830566,0.037114599952474236,9.122376499930397,102912,11281.270839981798,444.05322265625,694.25,55
400,7.15839958190918,0.03997769998386502,18.15802580001764,205312,11306.956067867275,444.05322265625,694.25,46
600,6.5416035652160645,0.03879270004108548,27.00005690008402,307712,11396.716723180034,444.05322265625,694.25,50
800,6.5276031494140625,0.058511999901384115,35.86079719988629,410112,11436.220943836139,444.05322265625,694.25,43
1000,6.04453182220459,0.04645900009199977,45.126883500022814,512512,11357.132605883162,444.05322265625,694.25,56
1200,5.8834028244018555,0.04172519990243018,54.18400839995593,614912,11348.588230332922,444.05322265625,694.25,52
1400,5.22271203994751,0.05140510015189648,64.6185761000961,717312,11100.708856364496,444.05322265625,694.25,49
1600,5.62006950378418,0.040266199968755245,76.08117010002024,819712,10774.177091682004,444.05322265625,694.25,45
1800,5.1733198165893555,0.038633499993011355,85.27717519993894,922112,10813.1161455341,444.05322265625,694.25,50
2000,5.712950706481934,0.04648560006171465,94.76981279999018,1024512,10810.531009090546,444.05322265625,694.25,49
2200,5.607783317565918,0.03849920001812279,104.15942759998143,1126912,10819.10707428082,444.05322265625,694.25,47
2400,5.3839497566223145,0.04942360008135438,113.15714120003395,1229312,10863.759785402135,444.05322265625,694.25,52
2600,4.697798252105713,0.04677740018814802,122.83512430009432,1331712,10841.459294220598,444.05322265625,694.25,54
2800,4.876931667327881,0.03925970010459423,132.43755290005356,1434112,10828.59029479561,444.05322265625,694.25,56
3000,5.115265846252441,0.03643970005214214,141.5364874000661,1536512,10855.94271996383,444.05322265625,694.25,49
3200,4.915769100189209,0.03779079997912049,150.43851280002855,1638912,10894.231599979557,444.05322265625,694.25,50
3400,5.029307842254639,0.04502060008235276,159.93935370002873,1741312,10887.326725515504,444.05322265625,694.25,49
